'snails	'con oc sen
aborticide	thuoc tru sau
abortifacient	gay say thai
abortion	su pha thai
abortionist	nguoi pha thai
abortment	pha thai
above-cited	trich dan o tren
above-mentioned	noi tren
above-named	co ten neu tren
abovedeck	tren boong tau
abovesaid	nhu da noi o tren
abradant	cam thay lanh
abraham-man	ap-ra-ham
abrasive	mai mon
abraum salts	muoi abraum
abridging	rut gon
abridgment	doan ngan
abroad	nuoc ngoai
abruptness	su dot ngot
abscission	su bo roi
absent-minded	lo dang
absenteeism	nghi hoc
absentness	su vang mat
absinthism	chu nghia vang ve
absolution	su giai toi
absolvatory	su tuyet doi
absolver	tha cho
absonant	ho bat hoa
absorbable	co the hap thu
absorbedly	tham thia
absorber	chat hap thu
absorptiveness	kha nang hap thu
absquatulate	vang mat
absque hoc	ngoai viec nay
abstainer	nguoi kieng cu
abstaining	kieng cu
abstemiousness	tinh du doi
abstention	su bo phieu trang
absterse	kieng
abstersive	kieng de
abstersiveness	tinh kieng cu
abstorted	bo phieu trang
abstracter	truu tuong hon
abstracting	truu tuong hoa
abstractionist	nguoi theo chu nghia truu tuong
abstractness	tinh truu tuong
abstrusion	su truu tuong
abstrusity	truu tuong
absurdness	su vo ly
abuna	do cua toi
abundant	doi dao
aburst	mot vu no
abusable	dang lam dung
abused	bi lam dung
abuser	ke nguoc dai
abusive	mang nhiec
abuttal	voi tru
abutting	tru cau
abyss	vuc sau
abyssal	vuc tham
academial	thuoc ve hoc thuat
academically	mot cach hoc thuat
academicism	chu nghia han lam
academist	vien si
acaleph	aselef
acalephan	akalifan
acaridan	tu acar
accadian	nguoi accadian
acceder	de truy cap
acceleration	su tang toc
accelerator	may gia toc
accelerograph	may do gia toc
accelerometer	gia toc ke
accenting	nhan giong
accentless	khong trong am
accentuable	co giong dieu
acceptability	kha nang chap nhan
acceptableness	su chap nhan duoc
accepted	da duoc chap nhan
accepter	chap nhan
acceptive	chap nhan
acceptor	nguoi chap nhan
accessible	co the truy cap
accessive	tiep can
accessory	phu kien
accidentalness	su tinh co
accipenser	toi se lay no
accipiter	mot con chim ung
accismus	thue tieu thu dac biet
accite	nhanh len
acclamatory	tung ho
acclimatized	di thuc
accommodately	co suc chua
accommodator	nguoi an o
accompanier	nguoi di cung
accompaniment	dem dan
accompanist	nguoi dem dan
accompanying	di cung
accompliceship	su dong loa
accomplicity	su hoan hao
accomplishable	co the hoan thanh
accordance	tuy theo
accorder	dong y 
accordingly	theo do
accordion	dan accordion
accordionist	nguoi choi dan accordionist
accostable	co the boi thuong
account book	so tai khoan
accountable ness	trach nhiem giai trinh
accountably	co trach nhiem
accounted	hach toan
accounting	ke toan
accoutred	duoc boi dap
accoy	cho chua
accretion	boi tu
accriminate	don lai
accruer	nguoi cong don
accubation	su gia nhap
accumbency	su tich cop
accurateness	tinh chinh xac
accusatival	loi buoc toi
ace	at chu
acervuline	dong coc
acescent	ho se chua
acetanilide	cua axetanils
acetification	su thanh thuc
acetifying	lam at chu bai
acetize	at chu bai
achilles' tendon	gan achilles
aching	nhuc nhoi
achromatism	benh sac to
achromatopsy	kham nghiem sac to
acidiferous	co nhieu axit
acidifiable	co the xac dinh duoc axit
acidific	thuoc ve axit
acidifier	chat lam chua
acidimeter	dong ho do axit
acidimetry	do axit
acidulating	axit hoa
acidulent	co tinh axit
acidulous	hoi chua
acknowledger	nguoi thua nhan
acolythist	giau co nhat
acorn cup	coc acorn
acotyledonous	co la
acquaint	lam quen
acquaintable	de lam quen
acquaintanceship	moi quan he quen biet
acquaintant	nguoi lam quen
acquaintedness	su quen biet
acquiesced	ung thuan
acquiescency	su ung thuan
acquiescently	thanh khan
acquiet	se lay
acquirability	kha nang co duoc
acquire	co duoc, thu duoc
acquiry	trang an
acquisition	thu mua
acquisitor	nguoi mua lai
acquist	nguoi trang an
acquittance	su tha bong
acquitting	tha bong
acridity	do chat
acridness	vi chat
acrimoniousness	tinh nhay ben
acrisia	mot cuoc khung hoang
acritical	thuoc ve am hoc
acrogenous	thuoc ve ban chat
acromegaly	to dau chi
acrospore	cay acrospore
acrostical	am hoc
acrostically	ve mat am hoc
acroter	nguoi nhao lon
acrotism	su nhao lon
acted	da hanh dong
actinism	chu nghia tich cuc
actino-chemistry	hoa chat hoat hoa
actinolitic	hoat hoa
actinology	hoat tinh
actinometric	dong luong
actinometry	phep do hoat tinh
actionable	co the hanh dong
actionist	nguoi hoat dong
activeness	su tich cuc
activities	cac hoat dong
activity	hoat dong 
actor	dien vien nam
actress	nu dien vien
actualist	nguoi theo chu nghia thuc te
actually	thuc ra
actualness	tinh thuc te
actuator	thiet bi truyen dong
actuose	tich cuc
acturience	tinh hanh dong
acuate	slide
acuition	su hoc hoi
aculei	but long
acupressure	bam huyet
acupuncture	cham cuu
acute-angled	goc nhon
ad captandum	de nam bat
ad hominem	cho nguoi dan ong
ad infinitum	den vo cung
ad interim	trong thoi gian tam thoi
ad libitum	khong bat buoc
adage	cau ngan ngu
adam's apple	tao cua adam
adapt	phong theo
adaptability	kha nang thich ung
adaptable	thich nghi duoc
adaptableness	kha nang thich nghi
adapter	bo chuyen doi
adaptorial	thich nghi
adatis	ban da di roi
adder's-tongue	nguoi bo sung luoi
addict	con nghien
addison's disease	benh li addison
addition	phep cong
additionally	ngoai ra
additory	kho bo sung
addle	ung hu
addling	nghien ngap
addlings	nguoi nghien
addression	su xung ho
adduce	them bot
adducer	toi se dem
adduct	phoi pham
adductor	chat bo sung
adelphia	ad philadelphia
adenology	nganh quang cao
adenophorous	thuoc ve am tham
adenotomy	u tuyen
adept	lao luyen
adeptist	tu nhung nguoi lao luyen
adeptness	su lao luyen
adfected	bi nhiem trung
adhered	gan bo
adherer	nguoi tuan thu
adhibit	se su dung
adiabatic	doan nhiet
adipescent	ho se nhan duoc
adjacency	gan ke
adjacently	ngay sau do
adjectively	ve mat tinh toan
adjudger	nguoi phan xu
adjudicative	xet xu
adjudicator	nguoi xet xu
adjudicature	su xet xu
adjunction	su noi tiep
adjunctively	ve mat tinh tu
adjurer	nguoi phu ta
adjustable	co the dieu chinh
adjuvant	chat bo tro
admaxillary	admax mao
admeasure	su do luong
adminiculary	do doc hoc
administrative	hanh chinh
administratorship	quyen quan tri
admirableness	dang nguong mo
admirably	dang kham phuc
admiration	su kham phuc
admirer	nguoi nguong mo
admissory	tuyen sinh
admittable	co the thua nhan
admittatur	duoc thua nhan
admitter	duoc thua nhan
admix	quan tri vien
admixtion	su nguong mo
admixture	phu gia
admonisher	nguoi khuyen nhu
adnascent	duoc sinh ra
adnominal	thuoc ve danh nghia
adolescency	tuoi moi lon
adonean	trong tong the
adonist	cua adon
adoptable	co the nhan nuoi
adopter	nguoi nhan nuoi
adoption	nhan con nuoi
adoptionist	nguoi nhan con nuoi
adoptive	nhan nuoi
adorement	yeu men
adrad	hoang hot
adroit	kheo leo
adscript	chi so quang cao
adulterant	ho da ngoai tinh
adulterated	bi tap nhiem
adulterating	tap nhiem
adulteration	su pha tap
adulteress	nguoi ngoai tinh
adulterize	lam tap chat
adumbrative	thuoc menh lenh
adunc	toi thu thap
adure	trong khoang cach
adustible	de dinh vao
adventuresome	thich phieu luu
adverb	trang tu
adverbiality	tinh quang cao
adverbially	mang tinh quang cao
adversion	su nghich chuyen
adversity	nghich canh
advertence	su quang cao
advertency	hieu luc
advertent	nguoi quang cao
advertised	duoc quang cao
advertiser	nha quang cao
advertising	quang cao
advisability	kha nang tu van
advised	khuyen
advocating	benh vuc
advolution	su tien bo
advoutrer	nguoi tu van
advoutress	nu co van
adyta	toi da lam
aemail ombrant	an email
aeolipile	de aeolip
aerated	co suc khi
aeration	suc khi
aerator	may suc khi
aerial	tren khong
aerobies	nguoi tap the duc nhip dieu
aerohydrodynamic	khi dong hoc
aerolitic	khi cau
aerologic	the duc khi
aerologist	nha hang khong
aerology	khi hoc
aerometer	khi ke
aerometric	khi dung
aerometry	phep do khi quyen
aeronaut	nguoi hang khong
aeroscopy	binh xit
aerostatics	khi tinh
aerugo	5 de gap
aesthesiometer	may do tham my
aestheticism	chu nghia tham my
aesthetics	tinh tham my
aestho-physiology	sinh ly hoc tham my
aestuous	co tham my
aethiops mineral	khoang san ethiopia
aethrioscope	kinh aethrioscope
aetiological	nguyen sinh hoc
aetiology	benh nguyen sinh
affatuate	hay triu men
affectationist	nguoi anh huong
affectibility	su triu men
affecting	anh huong den
affection	su yeu men
affectioned	triu men
affeerer	su viec
afferent	co tam
affiance	su tin cay
affianced	co long tin
affidavit	ban tuyen the
affiliable	co the lien ket
affinal	than thuoc
affirm	xac nhan
affirmable	co the khang dinh
affixed	dan vao
afflictionless	khong dau kho
affluentness	su sung tuc
affordable	gia ca phai chang
afforded	du kha nang
affordment	su chi tra
afforest	nguoi trong rung
afforestation	trong rung
affranchisement	buu phi
affreighter	nguoi tiep thi
affret	se mang
affriended	co tinh cam
affrighter	ke ngoai tinh
affrontiveness	niem no
affying	phien nao
afire	mot dam chay
aflow	mot dong chay
aforesaid	da noi o tren
aforethought	da nghi truoc
afreet	duong xa
afric	chau phi
african	nguoi chau phi
africander	nguoi o xa
africanism	chu nghia chau phi
africanize	chau phi
after damp	sau khi am uot
after-dinner	sau bua toi
after-eatage	sau khi an
after-glow	anh sang sau khi phat sang
after-image	hinh anh sau
after-mentioned	de cap sau
after-note	ghi chu sau
after-sails	nhung canh buom sau
afterbirth	sau khi sanh
afterclap	sau lop phu
aftercrop	vet cat sau
aftergame	sau tro choi
aftergrass	co sau
aftergrowth	su phat trien sau nay
aftershaft	truc sau
aftertaste	du vi
afterthought	suy nghi sau
againstand	chong lai va
agar-agar	neu neu
agaty	ma nao
agave	cay thua
agedly	lau doi
ageless	khong tuoi tac
agency	hang
agenda	chuong trinh nghi su
agendum	duoc hoan thanh
agenesis	tuoi thanh nien
agentship	dai ly
agglutination	su ngung ket
aggrandizable	co the bien doi duoc
aggrandizer	nguoi lam nong nghiep
aggravative	lam nang them
aggregating	tong hop lai
aggressing	gay han
aggrievance	su than phien
agible	de chiu
agistator	may khuay dong
agleam	toi chien dau
aglimmer	lam rung dong
agnostic	bat kha tri
agnosticism	thuyet bat kha tri
agnus castus	thit cuu thuan khiet
agone	de cho anh ta ngu
agonic	tang truong luc
agonist	nguoi chu dong
agonistically	ve mat nghich ly
agonistics	chat dong van
agouty	cong viec nang nhoc
agrarianism	chu nghia trong nong
agrarianize	nong hoa
agreeability	tinh thich hop
agreement	hiep dinh
agrestical	theo quan diem
agricolist	nguoi theo chu nghia nong nghiep
agriculturism	chu nghia nong nghiep
agrimony	su nong noi
agronomics	nong gia
agrope	nong san
agrostographical	dia ly nong nghiep
agrostologist	nha nong hoc
agrostology	nong hoc
aguilt	nong noi
aheap	mot dong
ahigh	mot cao
ahold	kia
aich's metal	kim loai cua aich
aid-de-camp	tro ly trai
aid-major	vien tro chinh
aidance	i e
aidless	khong vien tro
aids-de-camp	tro giup khu trai
aigret	bot chua
ailanthus	alan vi vay
aimed	nham vao
aimless	khong muc dich
air bed	giuong hoi
air brake	phanh hoi
air cell	khong khi
air chamber	buong phi cong
air cock	voi hoi
air engine	dong co khong khi
air hole	lo thong gio
air jacket	ao khoac khong khi
air level	muc khong khi
air pipe	ong dan khi
air poise	khong khi dinh dac
air pump	may bom khong khi
air sac	tui khi
air shaft	truc khong khi
air stove	bep khong khi
air vessel	tau hang khong
air-built	xay dung tren khong
air-drawn	keo bang khong khi
aired	duoc phat song
airing	phat song
airless	khong co khong khi
airwards	bay tren khong
aitchbone	xuong chau
akimbo	cac buoc
aknow	mot bi quyet
alabama period	thoi ky alabama
aladinist	tu aladdin
alamire	buoi sang tot lanh
alamodality	thuoc ve than phan
aland	mot vung dat
alarm	bao thuc
alarmedly	hoang hot
alarming	dang bao dong
alarmist	nguoi bao dong
albanian	nguoi albanian
albatross	chim hai au
albescent	chung se chuyen sang mau trang
albicant	chat lam co
albigensian	nguoi bach tang
albigeois	nguoi bach tang
albinoism	benh bach tang
alborak	cac ben
albugines	da nhot nhat
album graecum	hy lap trang
albuminin	album
albuminuria	albumin nieu
albumose	trong cac anbom
alburn	chay da
alchemic	chung thieu mau nao
alchemize	gia kim thuat
alchymist	nha gia kim
alchymy	thuat gia kim
alcoholic	ke nghien ruou
alcoholization	ruou hoa
alcoholized	con hoa
alcoholizing	nghien ruou
alcohometer	may do do con
alcoometry	do do con
alcoranic	kinh koranic
alcove	hoc tuong
aldehydic	andehit
alder-liefest	tinh yeu tuoi tac
aldermanlike	giong nhu nguoi lai xe
aldermanry	nghe lam nghe buon ban thit bo
aldermanship	nghe lam ky thuat vien
ale silver	nhung bac
ale-knight	hiep si ale
alectryomancy	phong thuy dien
alength	mot chieu dai
alert	bao dong
alethoscope	kinh soi duong
alewife	ba vo
alexanders	cua alexander
alfa grass	co alfa
algebra	dai so hoc
algebraically	ve mat dai so
algebraist	nha dai so
algebraize	dai so
algerian	nguoi algerian
algologist	nha gia kim thuat
algorism	thuat gia danh
alibi	bang chung ngoai pham
alienable	co the xa lanh
alienism	chu nghia xa la
alienist	nguoi ngoai hanh tinh
alienor	toi xa lanh
alife	mot cuoc song
aliferous	thuoc ve ho
aligerous	mau beige
align	can chinh
alilonghi	no khong tot
alimental	thuoc ve bi mat
alimentariness	do chua
alimony	tien cap duong
aliunde	tu mot noi khac
alkalifiable	co the kiem hoa
alkalimeter	may do do kiem
alkalimetry	phep do kiem
alkalinity	do kiem
alkalious	co tinh kiem
alkalizate	chat kiem hoa
alkalizing	kiem hoa
alkaloidal	voi alkaloid
alkekengi	toi khong quan tam
alkoranist	tu alkoran
all fools' day	ngay ca thang tu
all saints'	tat ca cac vi thanh
all souls' day	ngay cua tat ca cac linh hon
all-hail	muon nam
all-possessed	so huu tat ca
allanite	ban dang di xuong
allayed	lam day du
allecret	co vu
allegeance	su cao buoc
alleged	bi cao buoc
alleging	cao buoc
allegories	nhung cau chuyen ngu ngon
allegorized	duoc phan loai
allegory	cau chuyen ngu ngon
alleluiah	khong duoc viet
alleyed	tay
alleyway	duong hem
allhallow eve	allhallow dem truoc
allheal	tong the
alliant	nguoi thich
allis	tat ca la
alliteration	phep diep am
allness	tat ca
allnight	suot dem
allocatur	duoc giai quyet
allodialism	thuyet van vat
allodialist	nguoi theo thuyet van vat
allomerism	chu nghia dong dang
allomerous	co tinh di thuong
allomorphism	su da hinh
allonymous	dong danh
allopathically	ve mat vat ly
allopathy	benh di ung
alloquy	dia chi
allotropic	di huong
allotropical	toan nhiet doi
allotropicity	tinh di huong
allotropism	thuyet di duong
allotropize	no da thay doi
allottable	co the dong chai
allottee	nguoi giao khoan
allotter	nguoi phan bo
alloyage	hop kim
alloying	hop kim hoa
allthing	moi thu
alluded	noi bong noi gio
allwhere	o khap moi noi
allwork	tat ca cong viec
almagest	dep nhat
almeh	noi dau cua anh ay
almond furnace	lo hanh nhan
almondine	hanh nhan
almsdeed	nguoi tra tien
almsgiver	nguoi bo thi
almsgiving	bo thi
aloe	nha dam
aloes wood	go aloes
aloft	tren cao
aloin	toi da bat dau
alongshore	doc theo bo bien
alongst	doc theo
aloof	dung cach xa
alopecia	rung toc tung mang
alopecist	nguoi nuoi chim an thit
alphabetically	theo thu tu bang chu cai
alphabetize	sap xep theo thu tu bang chu cai
alpine	nui cao
altaian	o vung cao
altarist	tu ban tho
altern	su lao hoa
alternate	luan phien
alternatively	cach khac
altiloquence	thuat toan
altimetry	do do cao
altissimo	rat cao
alto-rilievo	cuu tro cao
alto-rilievos	phu dieu cao
altruism	long vi tha
alula	ho khong de dang
alum root	goc phen
alum shale	da phien phen
alum stone	da phen
aluminated	bi nhiem phen
aluminiferous	thuoc ve phen
aluminize	khu phen
aluminum	nhom
alumni	cuu sinh vien
alveated	duoc tha
alvei	long song
alveolate	lam nho lai
alveoliform	dang phe nang
alveolus	phe nang
amalgama	hon hong
amandine	qua hanh
amaranthus	rau den
amarine	nguoi amerindian
amasthenic	chung nhuoc co
amativeness	su am hieu
amaurosis	chung hu hai
amazon stone	da amazon
amazonian	nguoi amazon
amber fish	ca ho phach
amber room	phong ho phach
amber seed	hat ho phach
amber tree	cay ho phach
ambergris	long dien huong
ambes-as	tham vong-nhu
ambidextrousness	thuan ca hai tay
ambigenous	moi truong xung quanh
ambitionist	nguoi theo chu nghia tham vong
ambitionless	khong tham vong
amble	di thong tha
ambled	mai phuc
amblyopia	giam thi luc
amblyopic	di ung co
amboyna wood	go amboyna
ambulation	su xung kich
ambulatorial	benh nhan ngoai tru
ambulatory	xe cuu thuong
ambury	tham vong
ambusher	nguoi phuc kich
ambushment	su phuc kich
amebean	trong amip
ameliorable	co the cai thien duoc
amenability	su thich nghi
amenableness	tinh de chiu
amenage	hoan thanh
amenorrhoeal	vo kinh
amenuse	anh ay da ngui thay
amercer	phuc kich
american	nguoi my
americanism	chu nghia my
americanization	my hoa
americanizing	my hoa
amess	mot mo hon don
amethyst	thach anh tim
amidin	giua chung ta
ammoniated	lam hai hoa
amnestic	chung hay quen
amnestied	quen lang
amniotic	nuoc oi
amoebean	amip
amort	anh ta chet
amortizable	co the khau hao
amovable	co the di chuyen duoc
amperemeter	ampe ke
ampersand	dau va
amphiblastic	chat luong cu
amphibology	dong vat luong cu
amphigenesis	sinh vat luong tinh
amphilogism	thuyet luong tinh
amphitheatrically	giang day
ample	phong phu
ampleness	su doi dao
amplifier	bo khuech dai
amplifying	khuech dai
amplitude	bien do
ampullaceous	co than minh
ampullar	ong thuoc
ampullary	ong cut
amputate	cua di
amputated	bi cat cut
amputation	cat cut chan
amputator	nguoi cat cut chan
amygdaliferous	mang amidan
anabaptist	nguoi theo chu nghia anabaptist
anabaptistical	phan nghe thuat
anabas	tai nan
anachoret	khong tham dinh
anachronism	thuyet anachronism
anachronistic	phan thoi dai
anacoenosis	chung anacoenosis
anacreontic	phong luu
anacrotism	chu nghia tuong tu
anaerobiotic	yem khi
anaglyptograph	chu ky tu
anaglyptographic	gia chu
anagoge	anh ta da ngu
anagogic	phan ly tri
anagram	dao chu
anagrammatism	phep dao ngu
anagrammatist	nha van hoc dao ngu
anagrammatize	anh ay da dao ngu
anakim	con trai cua ban
analemma	suy thoai luong nan
analgesia	giam dau
analogical	loai suy
analogicalness	su tuong tu
analogies	phep loai suy
analogism	thuyet tuong tu
analogist	nguoi theo chu nghia tuong tu
analogize	tuong tu hoa
analyst	nha phan tich
analyzable	co the phan tich
analyzed	da phan tich
analyzer	may phan tich
ananas	trai dua
anapestic	nghich di
anapophysis	chung roi loan nhip tim
anarchism	chu nghia vo chinh phu
anarchist	nguoi theo chu nghia vo chinh phu
anastaltic	chat an mon
anatifa	chung toi da chet
anatifae	ho da giet chung toi
anatomies	ve mat giai phau hoc
anatomist	nha giai phau hoc
anatomizer	nguoi giai phau
anatropous	lat nguoc
anchor-hold	neo giu
anchorable	co the neo duoc
anchoretish	nguoi neo don
anchoretism	chu nghia neo don
anchorite	an si
anchorless	khong co neo
anchovy	ca com
anchovy pear	ca com le
anchylosing	viem cot
anchylosis	chung anchylosis
ancienty	co kinh
ancile	say cua mot bassoon
ancipital	vung cham
andabatism	chu nghia thai duong
androgynism	chu nghia ai nam ai nu
androgynous	ai nam ai nu
androphagous	va thuc vat
anear	cay co kho
aneath	cay hai quy
anecdotal	khong hoan toan dung
anemogram	chup quang tuyen
anemographic	khong co hinh anh
anemography	chup cat lop
anemometrical	do khong khi
anemometrograph	may do gio
anemorphilous	hai quy
anemoscope	kinh hai quy
anencephalic	khong co nao
anenst	that tha
anenterous	khong co ruot
anethol	khong duoc tuyen chon
aneurism	chung phinh dong mach
anew	mot lan nua
anfractuose	theo mot cach bi hong
angel fish	ca thien than
angelica	cay bach chi
angelize	thien than hoa
angellike	nhu thien than
angelology	thien than hoc
anginose	trong con dau that nguc
anginous	thuc vat hat kin
angiography	chup mach
angiology	khoa mach mau
angioma	u mach
angiomonospermous	hat nhua mach
angiospermous	cay hat kin
angiotomy	that mach mau
angles	goc do
anglic	tieng anh
anglican	nguoi kho sai
anglicanism	chu nghia thong kho
anglice	bang tieng anh
angling	cau ca
anglo-saxonism	chu nghia anglo-saxonism
anglophobia	chung so mach
angola pea	hat dau angola
angostura bark	cuu ly huong
angoumois moth	buom dem angoumois
anguineal	dau that nguc
angulation	goc canh
angulo-dentate	rang goc
angulometer	may do goc
angulose	o mot goc do
angustura bark	vo cay angustura
anhistous	tien su
anight	mot dem
anility	tinh bat thuong
animadversion	su thu han
animadversive	hoat nao
animalculum	con vat nho
animalize	suc vat
animalizing	dong vat hoa
animally	thuoc ve dong vat
animastic	hoat ngon
animater	nguoi lam hoat hinh
animator	nguoi lam phim hoat hinh
anime	phim hoat hinh
animism	thuyet vat linh
animistic	vat linh
animous	du ton
anise	cay hoi
aniseed	hot cay hoi huong
anisotropous	bat dang huong
ankerite	mo neo
ankle	mat ca
anklet	vong chan
ankylosis	chung cung khop
annalize	phan tich
annat	khac
annealer	nguoi u
annelidan	tu anneli
annexer	phu luc
annexing	thon tinh
annexionist	nguoi theo chu nghia thon tinh
annexment	su thon tinh
annihilator	nguoi huy diet
anniversarily	ngay ky niem
anniversary	dip ki niem
anno domini	trong nam cua chua chung ta
annotator	nguoi chu giai
annoyer	nguoi thong bao
annualist	nguoi thuong nien
annuary	ann ua de dang
annuity	nien kim
annullable	co the huy bo
annulosa	hinh khuyen
annulose	voi mot chiec nhan
annunciable	co the truyen tin
annunciator	nguoi truyen tin
anode	cuc duong
anodyne	giam dau
anointment	su xuc dau
anomura	anh ay ngap
anonaceous	kho chua chay
anonymousness	su vo danh
anorexy	bieng an
another-gaines	nguoi khac
another-gates	cong khac
another-guess	doan khac
answer	cau tra loi
answerable	co the tra loi duoc
answerableness	kha nang tra loi
ant bird	chim kien
ant egg	trung kien
ant thrush	kien dap
ant-bear	kien gau
ant-cattle	kien gia suc
ant-eater	thu an kien
ant-hill	doi kien
ant-lion	kien su tu
antacid	thuoc khang axit
antaean	con kien
antalkali	toi di
antarchistical	phan than kinh
ante	theo quan diem cua
ante-	theo quan diem cua-
antecedaneous	truoc da
antecedence	tien nghiem
antecedency	tien te nhi
antecessor	nguoi tien nhiem
antedated	co truoc
antediluvian	nguoi xua
antefixa	toi da chong lai
antelope	con linh duong
antemundane	truoc the gioi
antenatal	tien san
antenniform	ang-ten
antenumber	so ang ten
antenuptial	ang ten
antepenultimate	doi phuong
anteposition	chong lang dong
anteriorly	truoc sau
antestature	tam voc truoc
anthelion	kien va su tu
anthelix	vong xoan
anthelmintic	tay giun san
anthem	quoc ca
anther	bao phan
antherogenous	phan nhan tao
anthologist	nha nghien cuu giai doc to
anthology	tuyen tap
anthony's fire	ngon lua cua anthony
anthracometer	nhan trac ke
anthropoidal	hinh nguoi
anthropological	nhan chung hoc
anthropologist	nha nhan chung hoc
anthropometry	nhan trac hoc
anthropopathy	benh nhan hoc
anthropophuism	thuyet nhan chung hoc
anthroposcopy	soi nhan trac hoc
anthropotomist	nha nhan loai hoc
anthropotomy	nhan loai hoc
anthypnotic	nhan hoc
anti-american	chong nguoi my
anti-federalist	nguoi chong chu nghia lien bang
anti-gallican	chong gallican
anti-trade	chong buon ban
antiae	cua thoi co dai
antialbumose	chong albumin
antiaphrodisiac	chong kich thich tinh duc
antiapoplectic	chong roi loan than kinh
antibillous	khang bach tang
antibromic	khang the
anticatarrhal	chong chet nguoi
anticathode	chat chong tham
antichamber	chong lai thang muoi
antichristian	chong co doc giao
antichristianism	chu nghia chong co doc giao
antichristianity	chong lai thien chua giao
antichristianly	chong thien chua giao
antichronism	chu nghia chong thoi dai
anticipative	du doan truoc
anticipator	nguoi du doan
anticivism	chu nghia chong doi
anticlastic	chong deo
anticlimax	chong lai khi hu
anticlinoria	thuoc chong roi loan
anticlinorium	thuoc chong ung thu
anticness	su chong doi
anticonstitutional	chong lai hien phap
anticontagious	chong lay nhiem
anticor	nguoi chong lai
anticyclone	thuoc chong co that
antidotary	thuoc giai doc to
antidote	thuoc giai doc
antidotical	chong lai tinh duc
antidysenteric	thuoc chong di ung
antiemetic	chong non
antiepileptic	chong dong kinh
antifebrile	thuoc chong nhiem trung
antifriction	chong tray xuoc
antihelix	chong xoan
antihemorrhagic	chong xuat huyet
antihydropic	chong thuy tuc
antihypnotic	thuoc ha ap
antilibration	chong dung hoa
antiloquy	loi noi truoc
antimagistrical	phan chu nghia
antimask	mat na chong
antimasonry	chong ne
antimephitic	chat chong nhiem doc
antimere	tien tra no
antimonarchist	nguoi theo chu nghia antimonarchist
antinational	chong nuoc
antinomianism	chu nghia chong doc quyen
antinomist	nha phan van hoc
antinomy	phan di hoc
antiodontalgic	chong nha chu
antiorgastic	chong dan hoi
antiparallels	doi nhau
antiparalytic	chong phan cuc
antipathetical	phan phong hoa
antipathist	nguoi phan cam
antiperiodic	chong kinh hoang
antiperistaltic	chong nhu dong ruot
antiperistatic	chong nhu dong
antipharmic	phan phap
antiphlogistic	doi ma
antiphrastical	chong an mon
antiphysical	phan vat ly
antipodean	trong giai ma
antiptosis	chong nhiem doc
antipyrotic	ha sot
antiquarianism	chu nghia co xua
antiquaries	truyen co
antiquation	thoi co dai
antique	do co
antirachitic	chong loan than
antisabbatarian	nguoi chong an chay
antisacerdotal	chong dong
antiscians	nhung ke chong doi
antiscoletic	phan kham pha
